key;en;nl;FR;de
egames.EC1210426.result.losing;To win, your number should be identical to one of the winning numbers.;Om te winnen, dient jouw nummer identiek te zijn aan één van de winnende nummers.;Pour gagner, votre numéro doit être identique à un des numéros gagnants;Um zu gewinnen, muss Ihre Zahl mit einer der Gewinnzahlen übereinstimmen. 
egames.EC3210426.result.losing;To win, one of your numbers should be identical to one of the winning numbers.;Om te winnen, dient één van jouw nummers identiek te zijn aan één van de winnende nummers.;Pour gagner, l’un de vos numéros doit être identique à l’un des numéros gagnants.;Um zu gewinnen, muss eine Ihrer Nummern mit einer der Gewinnnummern übereinstimmen. 
egames.EC5210426.result.losing;To win, one of your numbers should be identical to one of the winning numbers.;Om te winnen, dient één van jouw nummers identiek te zijn aan één van de winnende nummers.;Pour gagner, l’un de vos numéros doit être identique à l’un des numéros gagnants.;Um zu gewinnen, muss eine Ihrer Nummern mit einer der Gewinnnummern übereinstimmen.
egames.ECX210426.result.losing;To win, one of your numbers should be identical to one of the winning numbers.;Om te winnen, dient één van jouw nummers identiek te zijn aan één van de winnende nummers.;Pour gagner, l’un de vos numéros doit être identique à l’un des numéros gagnants.;Um zu gewinnen, muss eine Ihrer Nummern mit einer der Gewinnnummern übereinstimmen.
egames.ECZ210426.result.losing;To win, one of your numbers should be identical to one of the winning numbers.;Om te winnen, dient één van jouw nummers identiek te zijn aan één van de winnende nummers.;Pour gagner, l’un de vos numéros doit être identique à l’un des numéros gagnants.;Um zu gewinnen, muss eine Ihrer Zahlen mit einer der Gewinnzahlen übereinstimmen.
egames.ECY210426.result.losing;To win, one of your numbers should be identical to one of the winning numbers.;Om te winnen, dient één van jouw nummers identiek te zijn aan één van de winnende nummers.;Pour gagner, l’un de vos numéros doit être identique à l’un des numéros gagnants.;Um zu gewinnen, muss eine Ihrer Zahlen mit einer der Gewinnzahlen übereinstimmen.
egames.E21210531.result.losing;Om te winnen moet het totaal van “Uw kaarten” + de bonuskaart lager zijn dan 21, maar hoger dan het totaal van de kaarten van de bank in eenzelfde spel.;Om te winnen moet het totaal van 'Je kaarten' + de bonuskaart lager zijn dan 21, maar hoger dan het totaal van de kaarten van de bank in eenzelfde spel.;Pour gagner, le total de « Vos cartes » + la carte bonus doit être inférieur à 21 mais supérieur à la banque dans un même jeu.;Um zu gewinnen, muss pro Spiel die Summe aus 'Ihren Karten' + der Bonuskarte kleiner als 21, aber größer als die der Bank sein.
egames.EMI210628.result.losing;Om te winnen, dient één van “Uw nummers” identiek te zijn aan één van de “Winnende nummers”, of moet je 3 symbolen “Goudstaven” ontdekken.;Om te winnen, dient één van 'Je nummers' identiek te zijn aan één van de 'Winnende nummers', of moet je 3 symbolen 'Goudstaven' ontdekken. ;Pour gagner, l’un de « Vos numéros » doit être identique à l’un des « Numéros gagnants » ou vous devez découvrir 3 symboles « Lingots d’or ».;Um zu gewinnen, muss eine 'Ihrer Zahlen' mit einer der 'Gewinnzahlen' übereinstimmen oder Sie müssen drei 'Goldbarren'-Symbole aufdecken.
egameStartPlayResponsibly;[EN] Speel veilig & verantwoord.;Speel veilig & verantwoord.;Jouez en toute sécurité & de manière responsable.;Spielen Sie sicher & verantwortungsbewusst.
egameStartPlayResponsiblyInfo;[EN] Hou het leuk! Bij de Nationale Loterij zorgen we voor een duidelijk kader waarin de spelers op een verantwoorde manier van het spel kunnen genieten.;Hou het leuk! Bij de Nationale Loterij zorgen we voor een duidelijk kader waarin de spelers op een verantwoorde manier van het spel kunnen genieten.;Faites en sorte que ça reste un plaisir ! À la Loterie Nationale, nous offrons un cadre clair dans lequel les joueurs peuvent profiter du jeu de manière responsable.;Habe Sie Spaß! Bei der Nationallotterie bieten wir einen klaren Rahmen, in dem die Spieler das Spiel verantwortungsbewusst genießen können.
egameStartReadyToPlay;[EN] Klaar om te spelen?;Klaar om te spelen?;Prêt à jouer ?;Bereit zum Spielen?
egameStartStakeConfirmation;[EN] Je inzet (€ {0}) gaat onmiddellijk van je rekening.;Je inzet (€ {0}) gaat onmiddellijk van je rekening.;Votre mise ({0} €) sera immédiatement détuite de votre compte.;Ihr Einsatz ({0} € ) wird sofort von Ihrem Konto abgebucht.
common.game.name.Lotto6;Lotto;Lotto;Lotto;Lotto
common.game.name.JokerPlus;Joker+;Joker+;Joker+;Joker+
common.daysOfWeek0;Sunday;Zondag;Dimanche;Sonntag
common.daysOfWeek1;Monday;Maandag;Lundi;Montag
common.daysOfWeek2;Tuesday;Dinsdag;Mardi;Dienstag
common.daysOfWeek3;Wednesday;Woensdag;Mercredi;Mittwoch
common.daysOfWeek4;Thursday;Donderdag;Jeudi;Donnerstag
common.daysOfWeek5;Friday;Vrijdag;Vendredi;Freitag
common.daysOfWeek6;Saturday;Zaterdag;Samedi;Samstag
common.month0;January;Januari;Janvier;Januar
common.month1;February;Februari;Février;Februar
common.month2;March;Maart;Mars;März
common.month3;April;April;Avril;April
common.month4;May;Mei;Mai;Mai
common.month5;June;Juni;Juin;Juni
common.month6;July;Juli;Juillet;Juli
common.month7;August;Augustus;Août;August
common.month8;September;September;Septembre;September
common.month9;October;Oktober;Octobre;Oktober
common.month10;November;November;November;November
common.month11;December;December;Décembre;Dezember
common.app.common.termsAndConditions;General conditions;Algemene voorwaarden;Conditions générales;Allgemeine Bedingungen
common.draw;draw;trekking;tirage;Ziehung
common.draws;draws;trekkingen;tirages;Ziehungen
common.modals.alert.OK;OK;OK;OK;OK
Description;Description;Omschrijving;Description;Beschreibung
Ask your question;Ask your question;Stel je vraag;Posez votre question;Stellen Sie Ihre Frage
e-mail address;e-mail address;e-mail adres;Adresse e-mail ;E-Mail-Adresse
Add an attachment;Add an attachment;Voeg een bijlage toe;Ajouter une pièce jointe;Anhang hinzufügen
remaining limit {0} MB;remaining limit {0} MB;resterende oplaadcapaciteit {0} MB;limite restante : {0} MB;verbleibende Ladekapazität {0} MB
Select subdomain;Select subdomain;Selecteer subdomein;Sélectionnez une catégorie;Wählen Sie eine Kategorie
I play in retail;I play in retail;Ik speel in de winkel;Je joue en magasin;Ich spiele in einer Annahmestelle 
I play online;I play online;Ik speel online;Je joue en ligne;Ich spiele online
I play with a subscription;I play with a subscription;Ik speel met abonnement;Je joue par abonnement;Ich spiele per Dauerteilnahme
The National Lottery Club;The National Lottery Club;De Nationale Loterij Club;Le Club de la Loterie Nationale;Der Club der Nationallotterie
About the National Lottery;About the National Lottery;Over de Nationale Loterij;À propos de la Loterie Nationale;Über die Nationallotterie
Somthing is wrong;Somthing is wrong;Er loopt iets mis;Signaler un problème;Ein Problem melden
Other questions;Other questions;Andere vragen;Autres questions;Weitere Fragen
Payment of profits;Payment of profits;Betaling van winst;Paiement des gains;Zahlung des Gewinns
Draw games;Draw games;Trekkingsspelen;Jeux de tirage;Ziehungsspiele
Euromillions;Euromillions;Euromillions;Euromillions;Euromillions
Lotto;Lotto;Lotto;Lotto;Lotto
Other draw games;Other draw games;Andere trekkingsspelen;Autres jeux de tirage;Sonstige Ziehungsspiele
Open a playing account;Open a playing account;Een speelrekening openen;Ouvrir un compte de jeu;Ein Spielkonto eröffnen
Log in;Log in;Inloggen;Se connecter;Einloggen
Scratch and Woohoo games;Scratch and Woohoo games;Krasspelen en Woohoo games;Jeux à gratter et jeux Woohoo;Rubbelspiele und Woohoo-Spiele
Payments;Payments;Betalingen;Paiements;Zahlungen
My playing account;My playing account;Mijn speelrekening;Mon compte de jeu;Mein Spielkonto
Subscribe / unsubscribe newsletter;Subscribe / unsubscribe newsletter;Inschrijven/Uitschrijven nieuwsbrief;Newsletter : inscription/désinscription;Newsletter abonnieren/abbestellen
Playing limits;Playing limits;Speellimieten;Limites de jeu;Spiellimits
Safety;Safety;Veiligheid;Sécurité;Sicherheit
I have a technical problem;I have a technical problem;Ik heb een technisch probleem;J'ai un problème technique;Ich habe ein technisches Problem
Error message when registering;Error message when registering;Foutmelding bij registratie;Erreur lors de l'enregistrement;Fehler bei der Registrierung
Forgotten email or password;Forgotten email or password;E-mail of wachtwoord vergeten;E-mail ou mot de passe oublié;E-Mail oder Passwort vergessen
Charging money;Charging money;Bankrekening;Compte bancaire;Bankkonto
Play account balance;Play account balance;Saldo speelrekening;Solde compte de jeu;Spielkonto-Guthaben
Withdraw money;Withdraw money;Geld opnemen;Retrait;Abholen
Close my playing account;Close my playing account;Speelrekening sluiten;Clôturer mon compte de jeu;Mein Spielkonto auflösen
Manage data;Manage data;Gegevens beheren;Paramètres de mon compte de jeu;Einstellungen meines Spielkontos
Messages;Messages;Berichten;Notifications;Benachrichtigungen
You are {0} MB above your limit. Please remove some files.;You are {0} MB above your limit. Please remove some files.;Je bent {0} MB boven het limiet. Gelieve enkele bestanden te verwijderen.;Vous avez dépassé la limite de {0} MB. Retirez des documents. ;Sie haben das Limit von {0} MB überschritten. Dokumente entfernen.
This field is required;This field is required;Dit veld is verplicht;Ce champ est obligatoire;Dieses Feld wird benötigt
Invalid email address;Invalid email address;Incorrect e-mailadres;E-mail invalide;Ungültige E-Mail
eticket.title;Heb je al een e-ticket?;Heb je al een e-ticket?;Avez-vous déjà un e-ticket ?;Haben Sie bereits ein E-Ticket?
eticket.subtitle;Vul dan je code in;Vul dan je code in;Entrez votre code;Geben Sie Ihren Code ein
eticket.serialNumber;e-ticket nummer;e-ticket nummer;numéro de l'e-ticket;e-ticket Nummer
eticket.pin;Pin;Pin;Pin;Pin
eticket.maxamount;Maximaal toegestane bedrag: € {0};Maximaal toegestane bedrag: € {0};Montant maximal autorisé : {0} €;Zulässiger Höchstbetrag: {0} €
eticket.infotext;Let wel: Het bedrag van je ticket mag je maximaal toegelaten storting niet overschijven. Bovendien dien je je ticket in zijn geheel op te nemen.;Let wel: Het bedrag van je ticket mag je maximaal toegelaten storting niet overschijven. Bovendien dien je je ticket in zijn geheel op te nemen.;Remarque : le montant de votre ticket ne peut pas dépasser le montant maximal de votre dépôt autorisé. De plus, vous devez utiliser votre ticket dans son intégralité.;Hinweis: Der Betrag Ihres Tickets darf den Höchstbetrag Ihrer autorisierten Einzahlung nicht überschreiten. Außerdem müssen Sie Ihr Ticket vollständig nutzen.
eticket.paysafe;Veilig betalen;Veilig betalen;Payez en toute sécurité;Sicher bezahlen
drawGames.betSlip.navigation.pick3.onboarding;[EN] Pick3 in twee simpele stappen.;Pick3 in twee simpele stappen.;Pick3 en deux étapes simples.;Pick3 in zwei einfachen Schritten.
drawGames.betSlip.navigation.keno.onboarding;[EN] Keno onboarding;Keno onboarding;Commencez avec Keno;Keno onboarding
drawGames.board.pick3.betType.Front 2;First 2;Eerste 2;Les 2 premiers dans l’ordre;Die ersten 2
drawGames.board.pick3.betType.Back 2;Last 2;Laatste 2;Les 2 derniers dans l’ordre;Die letzten 2
drawGames.board.pick3.betType.Straight;In order;In volgorde;Dans l’ordre;Der Reihe nach
drawGames.board.pick3.betType.Box 6;Out of order;In willekeurige volgorde;Dans le désordre;In beliebiger Reihenfolge
drawGames.betSlip.navigation.tooltip.gameTypes;Game types info;Info speltypes;Info types de jeu;Infos zu den Spielarten
fdGames.receipt.participateSingleDraw;You participate in 1 draw;Je neemt deel aan 1 trekking;Vous participez à 1 tirage;Sie nehmen an einer Ziehung teil
egameIntroNext;Next;Verder;Suivant;Weiter
eGame.rabbitRun.bonusInfo;[EN] Selecteer één konijnenpijp naar keuze en ontdek de uitkomst van je Bonusspel!;Selecteer één konijnenpijp naar keuze en ontdek de uitkomst van je Bonusspel!;Sélectionnez le lapin de votre choix et découvrez l'issue de votre jeu bonus !;[DE] Selecteer één konijnenpijp naar keuze en ontdek de uitkomst van je Bonusspel!
drawGames.board.pick3.subtitle.choose.number;1. Choose your numbers;1. Kies je nummers;1. Choisissez vos numéros;1. Wählen Sie Ihre Nummern
drawGames.board.pick3.subtitle.choose.number.tooltip;TO DO: Tooltip;TO DO: Tooltip;TO DO: Tooltip;TO DO: Tooltip
drawGames.board.pick3.subtitle.choose.gametype;2. Choose your game type(s);2. Kies je speltype(s);2. Choisissez votre type de jeu;2. Wähle deine Spieltypen
drawGames.board.pick3.subtitle.choose.gametype.tooltip;TO DO: Tooltip;TO DO: Tooltip;TO DO: Tooltip;TO DO: Tooltip
drawGames.board.pick3.play.another.grid;Play another grid;Speel een nieuw rooster;Jouer une autre grille;Spielen Sie ein anderes Gitter
egameAutoplay;Autoplay;Autoplay;Autoplay;Autoplay
egameResultTitleHighWin;Proficiat!;Proficiat!;Bravo;Herzlichen Glückwunsch
egameResultTitleHighWinGains;U hebt gewonnen!;U hebt gewonnen!;Vous avez gagné !;Sie haben gewonnen!
egamePriceWFLHoliday;€3.000 PER MONTH + €10.000 PER YEAR;€3.000 PER MAAND + €10.000 PER JAAR;3.000 € PAR MOIS + 10.000 € PAR AN;€3.000 PRO MONAT + €10.000 PRO JAHR
egames.ET1190923.result.losing;To win it is required that the same object appear as many times as in the legend.;Om te winnen, dient eenzelfde voorwerp het aantal keer te verschijnen dat in de legende wordt vermeld.;Pour gagner, il aurait fallu qu’un même objet apparaisse autant de fois qu’indiqué dans la légende.;Um zu gewinnen, müssen Sie den selben Gegenstand so oft finden wie in der Legende angegeben. 
egames.ET2190923.result.losing;To win it is required that the same object appear as many times as in the legend.;Om te winnen, dient eenzelfde voorwerp het aantal keer te verschijnen dat in de legende wordt vermeld.;Pour gagner, il aurait fallu qu’un même objet apparaisse autant de fois qu’indiqué dans la légende.;Um zu gewinnen, müssen Sie den selben Gegenstand so oft finden wie in der Legende angegeben. 
egames.ET3190923.result.losing;To win it is required that the same object appear as many times as in the legend.;Om te winnen, dient eenzelfde voorwerp het aantal keer te verschijnen dat in de legende wordt vermeld.;Pour gagner, il aurait fallu qu’un même objet apparaisse autant de fois qu’indiqué dans la légende.;Um zu gewinnen, müssen Sie den selben Gegenstand so oft finden wie in der Legende angegeben. 
egames.ET5190923.result.losing;To win it is required that the same object appear as many times as in the legend.;Om te winnen, dient eenzelfde voorwerp het aantal keer te verschijnen dat in de legende wordt vermeld.;Pour gagner, il aurait fallu qu’un même objet apparaisse autant de fois qu’indiqué dans la légende.;Um zu gewinnen, müssen Sie den selben Gegenstand so oft finden wie in der Legende angegeben. 
egames.ETX190923.result.losing;To win it is required that the same object appear as many times as in the legend.;Om te winnen, dient eenzelfde voorwerp het aantal keer te verschijnen dat in de legende wordt vermeld.;Pour gagner, il aurait fallu qu’un même objet apparaisse autant de fois qu’indiqué dans la légende.;Um zu gewinnen, müssen Sie den selben Gegenstand so oft finden wie in der Legende angegeben. 
egames.EBH210201.instructions.step0;Open de sterren in de zone  “Winnende nummers”.;Open de sterren in de zone  “Winnende nummers”.;Ouvrez les étoiles dans la zone « Numéros Gagnants ».;Öffnen Sie die Sterne im „Gewinnzahlen“-Bereich.
egames.EBN161031.instructions.step0;Click 24 times on the rabbit and find out 24 numbers in total.;Laat het konijn 24 keer fietsen en ontdek zo in totaal 24 nummers. ;Laissez pédaler le lapin 24 fois et découvrez ainsi 24 numéros au total.;Lassen Sie das Kaninchen 24 Mal Rad fahren und entdecken Sie so insgesamt 24 Nummern. 
egames.EPB160509.instructions.step0;Break the piggy banks.;Sla de spaarvarkentjes stuk.;Cassez toutes les tirelires.;Zerbrechen Sie die Sparschweine.
egames.ERR161031.instructions.step0;Click the dice to toss them. You have to toss a total of 7 times.;Selecteer de dobbelstenen om ze te gooien. Je moet ze in totaal 7 keer gooien.;Sélectionnez les dés pour les lancer. Vous devez les lancer 7 fois au total.;Wählen Sie die Würfel, um sie zu werfen. Sie müssen insgesamt 7 Mal würfeln.
egames.ESS160509.instructions.step0;You have to open safes 9 of your choice.;Open in totaal 9 kluizen naar keuze.;Ouvrez au total 9 coffres-forts au choix.;Öffnen Sie insgesamt 9 Tresore Ihrer Wahl.
egames.ET2190923.instructions.step0;Kies 9 oplichtende vindplaatsen om voorwerpen uit de prijslegende te verzamelen.;Kies 9 oplichtende vindplaatsen om voorwerpen uit de prijslegende te verzamelen.;Sélectionnez 9 emplacements en surbrillance pour rassembler des objets repris dans la légende.;Wähle 9 leuchtende Stellen, um Gegenstände aus der Preislegende zu sammeln.
egames.EM2200907.instructions.step0;You have to open safes 12 of your choice.;"Open de zones ""Uw nummer”, “Winnende nummers”, “Winst” en “Vermenigvuldiger” om te spelen.";Ouvrez les zones « Votre numéro », « Numéros gagnants », « Gain » et « Multiplicateur » pour jouer.;Decken Sie die Bereiche „Ihre Zahl“, „Gewinnzahlen“, „Gewinn“ und „Multiplikator“ auf.
egames.EM5200907.instructions.step0;Open de zones “Uw nummer”, “Winnende nummers”, “Winst” en “Vermenigvuldiger” om te spelen.;Open de zones “Uw nummer”, “Winnende nummers”, “Winst” en “Vermenigvuldiger” om te spelen.;Ouvrez les zones « Votre numéro », « Numéros gagnants », « Gain » et « Multiplicateur » pour jouer.;Decken Sie die Bereiche „Ihre Zahl“, „Gewinnzahlen“, „Gewinn“ und „Multiplikator“ auf.
egames.EMX200907.instructions.step0;Open de zones “Uw nummer”, “Winnende nummers”, “Winst” en “Vermenigvuldiger om te spelen.;"Open de zones “Uw nummer”, “Winnende nummers”, “Winst” en “Vermenigvuldiger"" om te spelen.";Ouvrez les zones « Votre numéro », « Numéros gagnants », « Gain » et « Multiplicateur » pour jouer;Decken Sie die Bereiche „Ihre Zahl“, „Gewinnzahlen“, „Gewinn“ und „Multiplikator“ auf.
egames.EAS180108.instructions.step0;Scratch all zones to see if you have won.;Kras de speelzones vrij om te ontdekken of je gewonnen hebt.;Grattez la zone de jeu afin de découvrir si vous avez gagné.;Rubbeln Sie die Spielzone frei, um herauszufinden, ob Sie gewonnen haben.
egames.E21210531.instructions.step0;Klik op “Uw kaarten” en kras de kaarten van de bank en de Bonuskaart vrij om te spelen.;Klik op “Jouw kaarten” en kras de kaarten van de bank en de Bonuskaart vrij om te spelen.;Cliquez sur « Vos cartes » et grattez les cartes de la banque et la carte bonus pour jouer.;Klicken Sie auf „Ihre Karten“ und rubbeln Sie die Karten der Bank und die Bonuskarte frei, um zu spielen.
egames.EC1210426.instructions.step0;Scratch zones “Your Numbers” and “Winning numbers”.;Kras de zones “Uw nummer” en “Winnende nummers” vrij.;Grattez les zones « Votre numéro » et « Numéros gagnants ».;Rubbeln Sie die Bereiche „Ihre Zahl“ und „Gewinnzahlen“ frei.
egames.EC3210426.instructions.step0;Scratch zones “Your Numbers”, “Winning numbers” and “Wins X?”.;Kras de zones “Uw nummers”, “Winnende nummers” en “Winst X?” vrij.;Grattez les zones « Vos numéros », « Numéros gagnants » et « Gain X ? ».;Rubbeln Sie die Bereiche „Ihre Zahlen“ und „Gewinnzahlen“ frei.
egames.EC5210426.instructions.step0;Scratch zones “Your Numbers”, “Winning numbers” and “Wins X?”.;Kras de zones “Uw nummers” en “Winnende nummers” vrij.;Grattez les zones « Vos numéros » et « Numéros gagnants ».;Rubbeln Sie die Bereiche „Ihre Zahlen“ und „Gewinnzahlen“ frei.
egames.ECZ210426.instructions.step0;Scratch zones “Your Numbers”, “Winning numbers” and “Wins X?”.;Kras de zones “Uw nummers” en “Winnende nummers” vrij.;Grattez les zones « Vos numéros » et « Numéros gagnants ».;Rubbeln Sie die Bereiche „Ihre Zahlen“ und „Gewinnzahlen“ frei.
egames.ECY210426.instructions.step0;Scratch zones “Your Numbers”, “Winning numbers” and “Wins X?”.;Kras de zones “Uw nummers” en “Winnende nummers” vrij.;Grattez les zones « Vos numéros » et « Numéros gagnants ».;Rubbeln Sie die Bereiche „Ihre Zahlen“ und „Gewinnzahlen“ frei.
egames.ECA191007.instructions.step0;Kras de speelzone vrij om te ontdekken of je gewonnen hebt.;Kras de speelzone vrij om te ontdekken of je gewonnen hebt.;Grattez la zone de jeu afin de découvrir si vous avez gagné.;Rubbeln Sie die Spielzone frei, um herauszufinden, ob Sie gewonnen haben.
egames.EFO200504.instructions.step0;Kras de speelzone vrij om te ontdekken of je gewonnen hebt.;Kras de speelzone vrij om te ontdekken of je gewonnen hebt.;Grattez la zone de jeu afin de découvrir si vous avez gagné.;Rubbeln Sie die Spielzone frei, um herauszufinden, ob Sie gewonnen haben.
egames.EKC160509.instructions.step0;To win, one of your symbols must be identical to one of the winning symbols.;Om te winnen moet een van je symbolen gelijk zijn aan een van de winnende symbolen.;Pour gagner, un de vos symboles doit être identique à un des symboles gagnants.;Für einen Gewinn muss eines Ihrer Symbole mit einem der Gewinnsymbole übereinstimmen.
egames.EMT190701.instructions.step0;Scratch the play area free to find out if you've won.;Kras de speelzones vrij om te ontdekken of je gewonnen hebt.;Grattez les zones de jeu afin de découvrir si vous avez gagné.;Rubbeln Sie die Spielzonen auf, um herauszufinden, ob Sie gewonnen haben.
egames.EMN200601.instructions.step0;Scratch all zones to see if you have won.;Kras de zones “Uw cijfers” en “Winst” vrij, en ontdek of je hebt gewonnen.;Grattez les zones « Vos chiffres » et « Gain » pour découvrir si vous avez gagné.;Rubbeln Sie die Bereiche „Ihre Zahlen“ und „Gewinn“ frei, um zu entdecken, ob Sie gewonnen haben.
egames.EMI210628.instructions.step0;Kras de zones “Uw nummers” en “Winnende nummers”.;Kras de zones “Uw nummers” en “Winnende nummers”.;Grattez les zones « Vos numéros » et « Numéros gagnants ».;Rubbeln Sie die Bereiche „Ihre Zahlen“ und „Gewinnzahlen“ frei.
egames.EP1190603.instructions.step0;To win, a price has to appear in the play area.;Kras de speelzone vrij om te ontdekken of je gewonnen hebt.;Grattez la zone de jeu afin de découvrir si vous avez gagné.;Rubbeln Sie die Spielzone frei, um herauszufinden, ob Sie gewonnen haben.
egames.ES1190204.instructions.step0;Rubbeln Sie die Spielzone auf, um herauszufinden, ob Sie gewonnen haben.;Kras de speelzone vrij om te ontdekken of je gewonnen hebt.;Grattez la zone de jeu afin de découvrir si vous avez gagné.;Rubbeln Sie die Spielzone frei, um herauszufinden, ob Sie gewonnen haben.
egames.ES3190204.instructions.step0;Rubbeln Sie die Spielzone auf, um herauszufinden, ob Sie gewonnen haben.;Kras de speelzone vrij om te ontdekken of je gewonnen hebt.;Grattez la zone de jeu afin de découvrir si vous avez gagné.;Rubbeln Sie die Spielzone frei, um herauszufinden, ob Sie gewonnen haben.
egames.ES5190204.instructions.step0;Rubbeln Sie die Spielzone auf, um herauszufinden, ob Sie gewonnen haben.;Kras de speelzone vrij om te ontdekken of je gewonnen hebt.;Grattez la zone de jeu afin de découvrir si vous avez gagné.;Rubbeln Sie die Spielzone frei, um herauszufinden, ob Sie gewonnen haben.
egames.ESX190204.instructions.step0;Rubbeln Sie die Spielzone auf, um herauszufinden, ob Sie gewonnen haben.;Kras de speelzone vrij om te ontdekken of je gewonnen hebt.;Grattez la zone de jeu afin de découvrir si vous avez gagné.;Rubbeln Sie die Spielzone frei, um herauszufinden, ob Sie gewonnen haben.
egames.EVP190401.instructions.step0;Kras de zones “Uw nummers”, “Winnende nummers” en “Bonus” vrij.;Kras de zones “Uw nummers”, “Winnende nummers” en “Bonus” vrij.;Grattez les zones « Vos numéros », « Numéros gagnants » et « Bonus ».;Rubbeln Sie die Bereiche „Ihre Nummern“, „Gewinnnummern“ und „Bonus“ frei.
egames.EW1211102.instructions.step0;Scratch all zones to see if you have won.;Kras de speelzones vrij om te ontdekken of je gewonnen hebt.;Grattez les zones de jeu pour découvrir si vous avez gagné.;Rubbeln Sie die Spielbereiche frei, um herauszufinden, ob Sie gewonnen haben.
egames.EW2180416.instructions.step0;Scratch all zones to see if you have won.;Kras de speelzones vrij om te ontdekken of je gewonnen hebt.;Grattez les zones de jeu pour découvrir si vous avez gagné.;Rubbeln Sie die Spielbereiche frei, um herauszufinden, ob Sie gewonnen haben.
egames.EW3211102.instructions.step0;Scratch all zones to see if you have won.;Kras de speelzones vrij om te ontdekken of je gewonnen hebt.;Grattez les zones de jeu pour découvrir si vous avez gagné.;Rubbeln Sie die Spielbereiche frei, um herauszufinden, ob Sie gewonnen haben.
egames.EW5180416.instructions.step0;Scratch all zones to see if you have won.;Kras de speelzones vrij om te ontdekken of je gewonnen hebt.;Grattez les zones de jeu pour découvrir si vous avez gagné.;Rubbeln Sie die Spielbereiche frei, um herauszufinden, ob Sie gewonnen haben.
egames.EWX180416.instructions.step0;Scratch all zones to see if you have won.;Kras de speelzones vrij om te ontdekken of je gewonnen hebt.;Grattez les zones de jeu pour découvrir si vous avez gagné.;Rubbeln Sie die Spielbereiche frei, um herauszufinden, ob Sie gewonnen haben.
egames.EWH200406.instructions.step0;Grattez les zones de jeu afin de découvrir si vous avez gagné.;Kras de speelzones vrij om te ontdekken of je gewonnen hebt.;Grattez les zones de jeu pour découvrir si vous avez gagné.;Rubbeln Sie die Spielbereiche frei, um herauszufinden, ob Sie gewonnen haben.
resend activation mail;resend activation mail;activeringsmail opnieuw verzenden;Renvoyer l'e-mail d'activation;Aktivierungsmail erneut senden
Log in with your account;Log in with your account;Inloggen met je account;Se connecter avec son compte;Melden Sie sich mit Ihrem Konto an
Password does not match requirements;Password does not match requirements;Het wachtwoord voldoet niet aan de eisen;Le mot de passe ne remplit pas les exigences demandées;Passwort entspricht nicht den Anforderungen
Filter on popular games;Filter on popular games;Filter op populaire spelen;Filtrer sur les jeux populaires;Nach beliebten Spielen filtern
More filters;More filters;Meer filters;Plus de filtres;Weitere Filter
Less filters;Less filters;Minder filters;Moins de filtres;Weniger Filter
You won {0} with your {1} codes;You won {0} with your {1} codes;Je won {0} met je {1} codes;Vous avez gagné {0} avec votre code {1};Sie haben {0} mit Ihren {1} Codes gewonnen
Jackpot of {0};Jackpot of {0};Jackpot van {0};Jackpot de {0};Jackpot von {0}
From {0};From {0};Vanaf {0};À partir de {0};Von {0}
{0} per row;{0} per row;{0} per rij;{0} par ligne;{0} pro Zeile
{0} to win;{0} to win;{0} te winnen;{0} à gagner;{0} zu gewinnen
1 chance on {0};1 chance on {0};1 kans op {0};1 chance sur {0};1 Chance auf {0}
Select;Select;Selecteer;Sélectionner;Auswählen
Your lotto rows;Your lotto rows;Je Lotto-rijen;Vos lignes Lotto;Ihre Lotto-Zeile
Select domain;Select domain;Selecteer domein;Sélectionnez le domaine;Domain auswählen
Back to {0};Back to {0};Terug naar {0};Retour à {0};Zurück zu {0}
AddressFavoriteShop;AddressFavoriteShop;Adres favoriet verkooppunt;Adresse du point de vente favori;Adresse der bevorzugten Verkaufsstelle
{0} points of sale;{0} points of sale;{0} verkooppunten;{0} points de vente;{0} Verkaufsstellen
Route;Route;Route;;Route
Log in to watch your favorite shop.;Log in to watch your favorite shop.;Log in om je favoriete verkooppunt te bekijken.;Conectez-vous pour voir votre magasin favori.;Melden Sie sich an, um Ihren Lieblingsshop anzuzeigen.
Show all Lottery Shops;Show all Lottery Shops;Toon alle Lottery Shops;Montrer tous les Lottery Shops;Alle Lotterieshops anzeigen
On;On;Aan;On;An
Off;Off;Uit;Off;Aus
Your favorite shop;Your favorite shop;Je favoriete verkooppunt;Votre point de vente favori;Ihr Lieblingsshop
Gain distribution;Gain distribution;Winstverdeling;Distribution des gains;Gewinnverteilung
deactivationTitle;deactivationTitle;deactiveren;;deaktivierungsTitel
Fill in password;Fill in password;Vul je wachtwoord in;Saisissez le mot de passe;Passwort eingeben
Deactivate my account;Deactivate my account;Mijn account deactiveren;Désactiver mon compte;Meinen Account deaktivieren
to account deactivation;to account deactivation;naar deactivering van het account;À la désactivation du compte;Wenn Ihr Konto deaktiviert ist
BIC value permanent-order;BIC value permanent-order;BIC-nummer vaste volgorde;BIC;BIC
IBAN value permanent-order;IBAN value permanent-order;IBAN-nummer vaste volgorde;IBAN;IBAN
beneficiary value permanent-order;beneficiary value permanent-order;begunstigde waarde vaste volgorde;Bénéficiaire;Begünstigter Wert Dauerauftrag
Maximum top up amount;Maximum top up amount;Maximum herlaadbedrag;Montant maximal de la recharge;Maximaler Aufladebetrag
beneficiary;beneficiary;begunstigde;Bénéficiaire;Begünstigter
